bank_ref,value_date,narration,debit_amount
BNK-5000,2026-06-01,Microsoft Azure - PAYMENT,3672.91
BNK-5001,2026-06-02,Zomato Corporate - PAYMENT,5872.88
BNK-5002,2026-06-02,LinkedIn Talent - PAYMENT,18071.96
BNK-5003,2026-06-04,Uber for Business - PAYMENT,21847.98
BNK-5004,2026-06-05,WeWork India - PAYMENT,10384.98
BNK-5005,2026-06-07,Swiggy Genie - PAYMENT,7395.95
BNK-5006,2026-06-07,LinkedIn Talent - PAYMENT,3063.59
BNK-EXTRA-3,2026-06-08,BANK SERVICE CHARGE,675.81
BNK-5007,2026-06-08,Ola Fleet - PAYMENT,24753.24
BNK-5008,2026-06-09,Microsoft Azure - PAYMENT,25914.75
BNK-5009,2026-06-09,IndiGo Airlines - PAYMENT,5776.96
BNK-5010,2026-06-09,Tata Power - PAYMENT,5053.42
BNK-5011,2026-06-10,Microsoft Azure - PAYMENT,11472.52
BNK-5012,2026-06-10,WeWork India - PAYMENT,30848.47
BNK-5013,2026-06-10,WeWork India - PAYMENT,15391.23
BNK-5014,2026-06-12,Swiggy Genie - PAYMENT,8926.3
BNK-5015,2026-06-12,Ola Fleet - PAYMENT,11600.8
BNK-5016,2026-06-12,Zomato Corporate - PAYMENT,3391.84
BNK-5017,2026-06-12,Swiggy Genie - PAYMENT,23945.72
BNK-5018,2026-06-12,Swiggy Genie - PAYMENT,7979.25
BNK-5019,2026-06-12,Tata Power - PAYMENT,3110.3
BNK-5021,2026-06-13,Ola Fleet - PAYMENT,8723.54
BNK-5020,2026-06-13,Airtel Business - PAYMENT,10345.04
BNK-5022,2026-06-14,Google Ads - PAYMENT,28849.03
BNK-5025,2026-06-16,Reliance Office Supplies - PAYMENT,9151.16
BNK-5023,2026-06-16,Adobe Creative Cloud - PAYMENT,13760.1
BNK-5024,2026-06-16,Airtel Business - PAYMENT,9994.0
BNK-5026,2026-06-17,Google Ads - PAYMENT,530.1
BNK-5027,2026-06-17,Ola Fleet - PAYMENT,15467.7
BNK-5028,2026-06-18,Amazon Web Services - PAYMENT,16616.59
BNK-5029,2026-06-19,Google Ads - PAYMENT,10717.54
BNK-5030,2026-06-19,IndiGo Airlines - PAYMENT,5537.49
BNK-5031,2026-06-19,Airtel Business - PAYMENT,29359.79
BNK-5032,2026-06-21,LinkedIn Talent - PAYMENT,11969.33
BNK-5034,2026-06-23,Godrej Interio - PAYMENT,13065.14
BNK-5035,2026-06-23,Amazon Web Services - PAYMENT,8682.69
BNK-5036,2026-06-23,WeWork India - PAYMENT,16889.87
BNK-5033,2026-06-23,Google Ads - PAYMENT,2513.62
BNK-5037,2026-06-24,WeWork India - PAYMENT,9975.29
BNK-5038,2026-06-24,Uber for Business - PAYMENT,15408.3
BNK-5039,2026-06-24,IndiGo Airlines - PAYMENT,12067.91
BNK-5040,2026-06-24,Google Ads - PAYMENT,6468.17
BNK-5041,2026-06-25,Google Ads - PAYMENT,20375.91
BNK-EXTRA-4,2026-06-26,NEFT PROCESSING FEE,500.36
BNK-5042,2026-06-26,Uber for Business - PAYMENT,29379.75
BNK-5044,2026-06-29,Uber for Business - PAYMENT,27158.59
BNK-5043,2026-06-29,Adobe Creative Cloud - PAYMENT,8257.67
BNK-5045,2026-06-30,Adobe Creative Cloud - PAYMENT,34475.4
BNK-5046,2026-07-02,Tata Power - PAYMENT,21662.39
BNK-5047,2026-07-03,Google Ads - PAYMENT,18858.7
BNK-5048,2026-07-03,Microsoft Azure - PAYMENT,4191.22
BNK-5049,2026-07-03,Zomato Corporate - PAYMENT,18520.68
BNK-5050,2026-07-03,Godrej Interio - PAYMENT,10759.48
BNK-5051,2026-07-04,Tata Power - PAYMENT,9232.94
BNK-5052,2026-07-04,Ola Fleet - PAYMENT,17772.47
BNK-5053,2026-07-05,Tata Power - PAYMENT,28723.04
BNK-5054,2026-07-05,Microsoft Azure - PAYMENT,51536.72
BNK-5055,2026-07-05,Ola Fleet - PAYMENT,3311.64
BNK-5057,2026-07-06,Reliance Office Supplies - PAYMENT,26468.82
BNK-5056,2026-07-06,Microsoft Azure - PAYMENT,15752.69
BNK-5058,2026-07-07,Zomato Corporate - PAYMENT,14255.92
BNK-5059,2026-07-09,Godrej Interio - PAYMENT,21321.93
BNK-5061,2026-07-09,Adobe Creative Cloud - PAYMENT,4217.59
BNK-5060,2026-07-09,Google Ads - PAYMENT,13753.14
BNK-5062,2026-07-10,Reliance Office Supplies - PAYMENT,19894.93
BNK-5063,2026-07-10,IndiGo Airlines - PAYMENT,5477.48
BNK-5064,2026-07-12,Godrej Interio - PAYMENT,20336.24
BNK-5065,2026-07-12,IndiGo Airlines - PAYMENT,27242.83
BNK-5066,2026-07-13,Reliance Office Supplies - PAYMENT,13475.33
BNK-5067,2026-07-14,Zomato Corporate - PAYMENT,21728.91
BNK-5069,2026-07-16,Uber for Business - PAYMENT,58822.72
BNK-5068,2026-07-16,Google Ads - PAYMENT,10127.52
BNK-5070,2026-07-19,Google Ads - PAYMENT,12985.23
BNK-5072,2026-07-20,LinkedIn Talent - PAYMENT,11064.0
BNK-5071,2026-07-20,Google Ads - PAYMENT,23044.69
BNK-5073,2026-07-21,Swiggy Genie - PAYMENT,19967.13
BNK-5074,2026-07-22,Uber for Business - PAYMENT,8542.4
BNK-5075,2026-07-22,Tata Power - PAYMENT,20424.99
