txn_id,date,vendor,category,amount,type,recorded_by
LGR-1000,2026-06-01,Microsoft Azure,Cloud & Software,3672.91,Debit,System-Auto
LGR-1001,2026-06-02,Zomato Corporate,Meals & Entertainment,5872.88,Debit,Aditya
LGR-1002,2026-06-02,LinkedIn Talent,HR & Recruiting,18071.96,Debit,Priya
LGR-1003,2026-06-04,Uber for Business,Travel,21847.98,Debit,Aditya
LGR-1004,2026-06-05,WeWork India,Rent & Facilities,10384.98,Debit,Priya
LGR-1005,2026-06-07,Swiggy Genie,Logistics,7395.95,Debit,System-Auto
LGR-1006,2026-06-07,LinkedIn Talent,HR & Recruiting,3063.59,Debit,System-Auto
LGR-1007,2026-06-08,Ola Fleet,Travel,24753.24,Debit,Aditya
LGR-1008,2026-06-09,Microsoft Azure,Cloud & Software,25914.75,Debit,System-Auto
LGR-1009,2026-06-09,IndiGo Airlines,Travel,5776.96,Debit,Priya
LGR-1010,2026-06-09,Tata Power,Utilities,5053.42,Debit,Aditya
LGR-1011,2026-06-10,Microsoft Azure,Cloud & Software,11472.52,Debit,System-Auto
LGR-1012,2026-06-10,WeWork India,Rent & Facilities,30848.47,Debit,Priya
LGR-1013,2026-06-10,WeWork India,Rent & Facilities,15391.23,Debit,Aditya
LGR-1014,2026-06-12,Swiggy Genie,Logistics,8926.3,Debit,System-Auto
LGR-1015,2026-06-12,Ola Fleet,Travel,11600.8,Debit,Aditya
LGR-1016,2026-06-12,Zomato Corporate,Meals & Entertainment,3391.84,Debit,Aditya
LGR-1017,2026-06-12,Swiggy Genie,Logistics,23945.72,Debit,Priya
LGR-1018,2026-06-12,Swiggy Genie,Logistics,7979.25,Debit,Aditya
LGR-1019,2026-06-12,Tata Power,Utilities,3110.3,Debit,Priya
LGR-1020,2026-06-13,Airtel Business,Utilities,10345.04,Debit,Priya
LGR-1021,2026-06-13,Ola Fleet,Travel,8723.54,Debit,System-Auto
LGR-1022,2026-06-13,Reliance Office Supplies,Office Supplies,17153.57,Debit,System-Auto
LGR-1023,2026-06-13,Swiggy Genie,Logistics,25598.94,Debit,System-Auto
LGR-1024,2026-06-14,Google Ads,Marketing,28849.03,Debit,System-Auto
LGR-1025,2026-06-16,Adobe Creative Cloud,Cloud & Software,13760.1,Debit,Priya
LGR-1026,2026-06-16,Airtel Business,Utilities,9994.0,Debit,Aditya
LGR-1027,2026-06-16,Reliance Office Supplies,Office Supplies,9151.16,Debit,Priya
LGR-1028,2026-06-17,Google Ads,Marketing,530.1,Debit,Priya
LGR-1029,2026-06-17,Ola Fleet,Travel,15467.7,Debit,Aditya
LGR-1030,2026-06-18,Amazon Web Services,Cloud & Software,16616.59,Debit,Priya
LGR-1031,2026-06-19,Google Ads,Marketing,10717.54,Debit,Priya
LGR-1032,2026-06-19,IndiGo Airlines,Travel,5537.49,Debit,System-Auto
